group,cat,fixed
מזון,סופר ומכולת,no
מזון,ירקות ופירות,no
מזון,משלוחי אוכל,no
מזון,מסעדות,no
מזון,בתי קפה,no
מזון,אלכוהול,no
דיור,שכר דירה,yes
דיור,משכנתא,yes
דיור,ארנונה,yes
דיור,חשמל,yes
דיור,מים,yes
דיור,גז,yes
דיור,ועד בית,yes
דיור,חניה קבועה,yes
תינוק וילדים,מעון/גן,yes
תינוק וילדים,חוגים ופעילות,no
תינוק וילדים,בייביסיטר,no
תינוק וילדים,ציוד וביגוד תינוק,no
תינוק וילדים,מוצרי תינוק,no
בריאות,קופת חולים,yes
בריאות,רופאים וטיפולים,no
בריאות,תרופות ופארם,no
בריאות,ביטוח בריאות,yes
ביטוחים,ביטוח חיים,yes
ביטוחים,ביטוח רכב,yes
ביטוחים,ביטוח דירה,yes
ביטוחים,ביטוח אחר,yes
תקשורת ומנויים,סלולר,yes
תקשורת ומנויים,אינטרנט וטלוויזיה,yes
תקשורת ומנויים,סטרימינג,yes
תקשורת ומנויים,תוכנה ו-AI,yes
תקשורת ומנויים,ציוד תקשורת,no
תחבורה,דלק,no
תחבורה,חניה,no
תחבורה,תחבורה ציבורית,no
תחבורה,כבישי אגרה,no
תחבורה,רישוי וטיפולים,no
תחבורה,מוניות,no
בעלי חיים,וטרינר,no
בעלי חיים,מזון וציוד לחיות,no
ביגוד וטיפוח,ביגוד והנעלה,no
ביגוד וטיפוח,מספרה,no
ביגוד וטיפוח,קוסמטיקה,no
פנאי ותרבות,הופעות ואירועים,no
פנאי ותרבות,ספורט,no
פנאי ותרבות,ספרים,no
פנאי ותרבות,בילויים,no
חופשות וחו"ל,טיסות,no
חופשות וחו"ל,לינה,no
חופשות וחו"ל,הוצאות בחו"ל,no
חופשות וחו"ל,חופשות בארץ,no
מתנות ותרומות,מתנות,no
מתנות ותרומות,תרומות וחברות,no
בית,ריהוט וציוד,no
בית,תחזוקה,no
בית,ניקיון,no
שונות,ייעוץ מקצועי,no
שונות,לימודים ועבודה,no
שונות,עמלות בנק,no
שונות,מזומן,no
שונות,הנחת מועדון (זיכוי מחושב),no
שונות,אחר / לא מזוהה,no
הכנסות,משכורת,no
הכנסות,מלגה,no
הכנסות,קצבת ילדים,no
הכנסות,קצבאות ביטוח לאומי,no
הכנסות,מענקים ופרסים,no
הכנסות,החזרים וזיכויים,no
הכנסות,החזרים מחברים (P2P),no
הכנסות,הפקדות שיקים,no
הכנסות,ריבית,no
הכנסות,אחר / לא מזוהה,no
חיסכון והשקעות,קופת גמל,no
חיסכון והשקעות,קרן השתלמות,no
חיסכון והשקעות,ניירות ערך,no
חיסכון והשקעות,פיקדון,no
העברות פנימיות,העברה בין חשבונות,no
העברות פנימיות,המרת מט"ח,no
העברות פנימיות,משיכת P2P לבנק,no
העברות פנימיות,טעינת כרטיס הטבות,no
העברות פנימיות,מזומן למימון הוצאות מוערכות,no
תשלומי כרטיסי אשראי,תשלום כרטיס אשראי,no
הוצאות בהחזר,הוצאה בהחזר,no
הוצאות בהחזר,החזר הוצאה,no
