# merchant-rules-starter.csv — copy to <project>/rules/merchant_rules.csv and grow it per household.
# pattern = case-insensitive substring of the statement description; the LONGEST matching pattern wins (ties: file order).
# type in {הוצאה, הכנסה, העברה פנימית, חיסכון והשקעות, תשלום כרטיס אשראי}; group/cat must exist in the category scheme.
# Only national utilities / statutory bodies / nationwide chains / global subscriptions / generic bank descriptions here.
# Never add here: person names, employers, landlords, sole traders, P2P payees, card last-4, account numbers, "הו"ק ל…"/"העברה ל…" with a name.
# No commas inside any field (FM5).
pattern,name_clean,type,group,cat,note
# ===== income (statutory / bank) =====
ביטוח לאומי - ילדים,קצבת ילדים (ביטוח לאומי),הכנסה,הכנסות,קצבת ילדים,
ביטוח לאומי,ביטוח לאומי,הכנסה,הכנסות,קצבאות ביטוח לאומי,נדרש: אם הכסף יצא - זו הוצאה (דמי ביטוח) ולא קצבה
הפקדת שיק,הפקדת שיק,הכנסה,הכנסות,הפקדות שיקים,נדרש: מקור השיק
ביטול הפקדת שיק,ביטול הפקדת שיק (שיק חזר),הוצאה,הכנסות,הפקדות שיקים,מקזז הפקדה - נטו אפס
קבלת תשלום על יתרת זכות,ריבית זכות,הכנסה,הכנסות,ריבית,
החזר עמלות,החזר עמלות מהבנק,הכנסה,הכנסות,החזרים וזיכויים,
# ===== bank descriptions: savings / internal / cash / fees =====
נע-קניה,קניית ניירות ערך,חיסכון והשקעות,חיסכון והשקעות,ניירות ערך,
ניירות ערך,ניירות ערך,חיסכון והשקעות,חיסכון והשקעות,ניירות ערך,
הפקדות קופ"ג,הפקדה לקופת גמל,חיסכון והשקעות,חיסכון והשקעות,קופת גמל,
קופת גמל,הפקדה לקופת גמל,חיסכון והשקעות,חיסכון והשקעות,קופת גמל,
קרן השתלמות,הפקדה לקרן השתלמות,חיסכון והשקעות,חיסכון והשקעות,קרן השתלמות,
פיקדון,הפקדה לפיקדון,חיסכון והשקעות,חיסכון והשקעות,פיקדון,נדרש: אם זו פדיון פיקדון (כסף נכנס) - עדיין העברה פנימית
Withdrawal from my balance,משיכת יתרת P2P לבנק,העברה פנימית,העברות פנימיות,משיכת P2P לבנק,שורת האפליקציה; ההוצאות עצמן נספרות משורות התשלום
טעינת כסף - כרטיס נטען,טעינת כרטיס הטבות,העברה פנימית,העברות פנימיות,טעינת כרטיס הטבות,הרכישות מהכרטיס נספרות בערך נקוב
המרת מט"ח,המרת מט"ח,העברה פנימית,העברות פנימיות,המרת מט"ח,רק העמלה היא הוצאה
מכספומט,משיכת מזומן,הוצאה,שונות,מזומן,
סניפומט,משיכת מזומן,הוצאה,שונות,מזומן,
משיכת מזומן,משיכת מזומן,הוצאה,שונות,מזומן,
משיכת שיק,שיק שנפרע,הוצאה,שונות,אחר / לא מזוהה,נדרש: למי נכתב השיק ועל מה
עמלת חליפין,עמלת חליפין,הוצאה,שונות,עמלות בנק,
עמלת פעולה,עמלת פעולה,הוצאה,שונות,עמלות בנק,
עמלת ניהול,עמלת ניהול חשבון,הוצאה,שונות,עמלות בנק,
השלמה למינימום,עמלת השלמה למינימום,הוצאה,שונות,עמלות בנק,
דמי כרטיס,דמי כרטיס אשראי,הוצאה,שונות,עמלות בנק,
דמי חבר,דמי חבר (כרטיס/מועדון),הוצאה,שונות,עמלות בנק,
תשלום מס במקור,ניכוי מס במקור,הוצאה,שונות,עמלות בנק,
# ===== utilities / government =====
חברת החשמל,חברת החשמל,הוצאה,דיור,חשמל,
ארנונה,ארנונה,הוצאה,דיור,ארנונה,
תאגיד המים,מים,הוצאה,דיור,מים,
סופרגז,גז,הוצאה,דיור,גז,
אמישראגז,גז,הוצאה,דיור,גז,
ועד בית,ועד בית,הוצאה,דיור,ועד בית,
ועדי בתים,ועד בית,הוצאה,דיור,ועד בית,
משרד התחבורה,משרד התחבורה - רישוי,הוצאה,תחבורה,רישוי וטיפולים,
המסלקה הפנסיונית,המסלקה הפנסיונית,הוצאה,שונות,עמלות בנק,
# ===== health =====
מכבי שרותי בריאות,קופת חולים,הוצאה,בריאות,קופת חולים,
שירותי בריאות כללית,קופת חולים,הוצאה,בריאות,קופת חולים,
קופת חולים מאוחדת,קופת חולים,הוצאה,בריאות,קופת חולים,
לאומית שירותי בריאות,קופת חולים,הוצאה,בריאות,קופת חולים,
סופר פארם,סופר פארם,הוצאה,בריאות,תרופות ופארם,
סופרפארם,סופר פארם,הוצאה,בריאות,תרופות ופארם,
בית מרקחת,בית מרקחת,הוצאה,בריאות,תרופות ופארם,
# ===== telecom / subscriptions =====
פרטנר,פרטנר,הוצאה,תקשורת ומנויים,סלולר,
סלקום,סלקום,הוצאה,תקשורת ומנויים,סלולר,
פלאפון,פלאפון,הוצאה,תקשורת ומנויים,סלולר,
בזק,בזק,הוצאה,תקשורת ומנויים,אינטרנט וטלוויזיה,
NETFLIX,Netflix,הוצאה,תקשורת ומנויים,סטרימינג,
SPOTIFY,Spotify,הוצאה,תקשורת ומנויים,סטרימינג,
AMAZON PRIME,Amazon Prime,הוצאה,תקשורת ומנויים,סטרימינג,
APPLE.COM/BILL,Apple (מנויים),הוצאה,תקשורת ומנויים,תוכנה ו-AI,
ICLOUD,iCloud,הוצאה,תקשורת ומנויים,תוכנה ו-AI,
GOOGLE *,Google (מנוי),הוצאה,תקשורת ומנויים,תוכנה ו-AI,
ANTHROPIC,Claude (Anthropic),הוצאה,תקשורת ומנויים,תוכנה ו-AI,
OPENAI,ChatGPT (OpenAI),הוצאה,תקשורת ומנויים,תוכנה ו-AI,
CANVA,Canva,הוצאה,תקשורת ומנויים,תוכנה ו-AI,
AIRALO,Airalo (eSIM),הוצאה,חופשות וחו"ל,הוצאות בחו"ל,
# ===== transport =====
דלק מנטה,דלק,הוצאה,תחבורה,דלק,
תחנת דלק,דלק,הוצאה,תחבורה,דלק,
סונול,סונול,הוצאה,תחבורה,דלק,
דור אלון,דור אלון,הוצאה,תחבורה,דלק,
פז ,פז,הוצאה,תחבורה,דלק,
כביש 6,כביש 6,הוצאה,תחבורה,כבישי אגרה,
הנתיב המהיר,הנתיב המהיר,הוצאה,תחבורה,כבישי אגרה,
מנהרות הכרמל,מנהרות הכרמל,הוצאה,תחבורה,כבישי אגרה,
רב-קו,רב-קו,הוצאה,תחבורה,תחבורה ציבורית,
פנגו מוביט,רב-קו (פנגו/מוביט),הוצאה,תחבורה,תחבורה ציבורית,
GETT,Gett (מונית),הוצאה,תחבורה,מוניות,
פנגו,פנגו (חניה),הוצאה,תחבורה,חניה,
חניון,חניון,הוצאה,תחבורה,חניה,
חניה,חניה,הוצאה,תחבורה,חניה,
# ===== food =====
שופרסל,שופרסל,הוצאה,מזון,סופר ומכולת,
רמי לוי,רמי לוי,הוצאה,מזון,סופר ומכולת,
ויקטורי,ויקטורי,הוצאה,מזון,סופר ומכולת,
יוחננוף,יוחננוף,הוצאה,מזון,סופר ומכולת,
טיב טעם,טיב טעם,הוצאה,מזון,סופר ומכולת,
יינות ביתן,יינות ביתן,הוצאה,מזון,סופר ומכולת,
אי.אם.פי.אם,AM:PM,הוצאה,מזון,סופר ומכולת,
מינימרקט,מינימרקט,הוצאה,מזון,סופר ומכולת,
WOLT,Wolt,הוצאה,מזון,משלוחי אוכל,
תן ביס,תן ביס,הוצאה,מזון,משלוחי אוכל,
ארומה,ארומה,הוצאה,מזון,בתי קפה,
קפה קפה,קפה קפה,הוצאה,מזון,בתי קפה,
בית קפה,בית קפה,הוצאה,מזון,בתי קפה,
קפה,קפה,הוצאה,מזון,בתי קפה,
מסעדה,מסעדה,הוצאה,מזון,מסעדות,
פיצה,פיצה,הוצאה,מזון,מסעדות,
מקדונלד,מקדונלדס,הוצאה,מזון,מסעדות,
# ===== retail / home / leisure =====
